102|[-18896, -750, 0]|[0, 0, -0]|[19, 236, 149]
103|[-18711, -750, 0]|[0, 0, -0]|[19, 236, 149]
104|[-18527, -750, 0]|[0, 0, -0]|[19, 236, 149]
105|[-18342, -750, 0]|[0, 0, -0]|[19, 236, 149]
106|[-18157, -750, 0]|[0, 0, -0]|[19, 236, 149]
107|[-17972, -750, 0]|[0, 0, -0]|[19, 236, 149]
108|[-17788, -750, 0]|[0, 0, -0]|[19, 236, 149]
109|[-17603, -750, 0]|[0, 0, -0]|[19, 236, 149]
110|[-17418, -750, 0]|[0, 0, -0]|[19, 236, 149]
111|[-17233, -750, 0]|[0, 0, -0]|[19, 236, 149]
112|[-17049, -750, 0]|[0, 0, -0]|[19, 236, 149]
113|[-16864, -750, 0]|[0, 0, -0]|[19, 236, 149]
114|[-16679, -750, 0]|[0, 0, -0]|[19, 236, 149]
115|[-16494, -750, 0]|[0, 0, -0]|[19, 236, 149]
116|[-16310, -750, 0]|[0, 0, -0]|[19, 236, 149]
117|[-16125, -750, 0]|[0, 0, -0]|[19, 236, 149]
118|[-15940, -750, 0]|[0, 0, -0]|[19, 236, 149]
119|[-15756, -750, 0]|[0, 0, -0]|[19, 236, 149]
120|[-15571, -750, 0]|[0, 0, -0]|[19, 236, 149]
121|[-15386, -750, 0]|[0, 0, -0]|[19, 236, 149]
122|[-15201, -750, 0]|[0, 0, -0]|[19, 236, 149]
123|[-15017, -750, 0]|[0, 0, -0]|[19, 236, 149]
124|[-14832, -750, 0]|[0, 0, -0]|[19, 236, 149]
125|[-14647, -750, 0]|[0, 0, -0]|[19, 236, 149]
126|[-14462, -750, 0]|[0, 0, -0]|[19, 236, 149]
127|[-14278, -750, 0]|[0, 0, -0]|[19, 236, 149]
128|[-14093, -750, 0]|[0, 0, -0]|[19, 236, 149]
129|[-13908, -750, 0]|[0, 0, -0]|[19, 236, 149]
130|[-13724, -750, 0]|[0, 0, -0]|[19, 236, 149]
131|[-13539, -750, 0]|[0, 0, -0]|[19, 236, 149]
132|[-13354, -750, 0]|[0, 0, -0]|[19, 236, 149]
133|[-13169, -750, 0]|[0, 0, -0]|[19, 236, 149]
134|[-12985, -750, 0]|[0, 0, -0]|[19, 236, 149]
135|[-12800, -750, 0]|[0, 0, -0]|[19, 236, 149]
136|[-12615, -750, 0]|[0, 0, -0]|[19, 236, 149]
137|[-12430, -750, 0]|[0, 0, -0]|[19, 236, 149]
138|[-12246, -750, 0]|[0, 0, -0]|[19, 236, 149]
139|[-12061, -750, 0]|[0, 0, -0]|[19, 236, 149]
140|[-11876, -750, 0]|[0, 0, -0]|[19, 236, 149]
141|[-11691, -750, 0]|[0, 0, -0]|[19, 236, 149]
142|[-11507, -750, 0]|[0, 0, -0]|[19, 236, 149]
143|[-11322, -750, 0]|[0, 0, -0]|[19, 236, 149]
144|[-11137, -750, 0]|[0, 0, -0]|[19, 236, 149]
145|[-10953, -750, 0]|[0, 0, -0]|[19, 236, 149]
